Timestamp, Temperatura, Humedad, Voltaje, Corriente
2024-05-24 23:44:59.813955,23.41,47.69,4.99,18.12
2024-05-24 23:44:59.818992,26.66,43.76,4.97,15.16
2024-05-24 23:44:59.824008,28.56,35.41,5.05,16.14
2024-05-24 23:44:59.829025,24.66,68.66,5.00,17.03
2024-05-24 23:44:59.834033,21.95,67.99,4.98,19.40
2024-05-24 23:44:59.839040,22.04,49.72,4.99,15.22
2024-05-24 23:44:59.844048,29.20,61.74,4.96,18.68
2024-05-24 23:44:59.849055,24.21,42.33,5.03,18.83
2024-05-24 23:44:59.854062,24.15,50.32,5.04,18.87
2024-05-24 23:44:59.859069,20.05,37.71,4.96,17.80
2024-05-24 23:44:59.864077,26.62,38.95,4.98,15.44
2024-05-24 23:44:59.869084,22.81,67.25,4.99,18.83
2024-05-24 23:44:59.874091,21.54,61.61,4.95,19.37
2024-05-24 23:44:59.879098,22.21,46.18,5.01,17.09
2024-05-24 23:44:59.884105,25.32,52.18,4.96,19.68
2024-05-24 23:44:59.889112,21.43,57.57,5.04,19.57
2024-05-24 23:44:59.894120,24.85,60.89,4.99,17.61
2024-05-24 23:44:59.899133,25.93,47.01,4.98,17.21
2024-05-24 23:44:59.904146,22.26,53.81,5.01,16.24
2024-05-24 23:44:59.909153,23.20,35.63,4.96,19.61
2024-05-24 23:44:59.914160,22.27,48.08,4.95,15.28
2024-05-24 23:44:59.919167,26.84,37.83,4.99,15.45
2024-05-24 23:44:59.924174,23.79,31.26,5.05,19.67
2024-05-24 23:44:59.929181,23.16,53.83,4.99,18.81
2024-05-24 23:44:59.934188,28.37,51.71,4.96,15.78
2024-05-24 23:44:59.939195,22.19,64.32,5.00,18.00
2024-05-24 23:44:59.944202,27.24,61.56,4.95,18.90
2024-05-24 23:44:59.949209,21.00,32.59,4.95,17.20
2024-05-24 23:44:59.954216,27.50,48.97,5.01,17.49
2024-05-24 23:44:59.959223,20.56,54.29,4.99,19.06
